measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
26,Life expectancy,166,Sub-Saharan Africa,3,Both,15,50 to 54,5,Years,2005,22.09458537499159,22.64799909783597,21.546500310141994
26,Life expectancy,166,Sub-Saharan Africa,3,Both,16,55 to 59,5,Years,2005,18.920970293531454,19.39342378106136,18.451793113910373
26,Life expectancy,166,Sub-Saharan Africa,3,Both,17,60 to 64,5,Years,2005,15.828754753259188,16.230273254828628,15.442599137895947
26,Life expectancy,166,Sub-Saharan Africa,3,Both,18,65 to 69,5,Years,2005,12.97185832637038,13.298029276361845,12.662418200660134
26,Life expectancy,166,Sub-Saharan Africa,3,Both,19,70 to 74,5,Years,2005,10.365845310316303,10.61989604847424,10.122820851831834
26,Life expectancy,166,Sub-Saharan Africa,3,Both,20,75 to 79,5,Years,2005,8.161701426477938,8.353782010567146,7.9813004101914915
26,Life expectancy,166,Sub-Saharan Africa,3,Both,30,80 to 84,5,Years,2005,6.281991976194647,6.42375025179487,6.151223719126221
26,Life expectancy,166,Sub-Saharan Africa,3,Both,31,85 to 89,5,Years,2005,4.877191733424847,4.985541606349105,4.773446025806888
26,Life expectancy,166,Sub-Saharan Africa,3,Both,32,90 to 94,5,Years,2005,3.7047631527925224,3.7894232005078163,3.6259229019201165
26,Life expectancy,4743,European Union,3,Both,8,15 to 19,5,Years,2018,66.31137120327537,66.58414185452666,66.02391367757379
26,Life expectancy,4743,European Union,3,Both,9,20 to 24,5,Years,2018,61.39268510269021,61.662907411789014,61.10760660860663
26,Life expectancy,4743,European Union,3,Both,10,25 to 29,5,Years,2018,56.50943503358199,56.777158996421015,56.22767280293417
26,Life expectancy,4743,European Union,3,Both,11,30 to 34,5,Years,2018,51.635213453342246,51.90053401173177,51.35640548092174
26,Life expectancy,4743,European Union,3,Both,12,35 to 39,5,Years,2018,46.78462580617676,47.04685952450227,46.50981154816069
26,Life expectancy,4743,European Union,3,Both,13,40 to 44,5,Years,2018,41.97337513329951,42.231014955402706,41.70336774166007
26,Life expectancy,4743,European Union,3,Both,14,45 to 49,5,Years,2018,37.23847141228332,37.489030827574865,36.97662227531481
26,Life expectancy,4743,European Union,3,Both,15,50 to 54,5,Years,2018,32.62288573567193,32.863228104862586,32.37419021023283
26,Life expectancy,4743,European Union,3,Both,16,55 to 59,5,Years,2018,28.16037567542087,28.38666283503467,27.92853289278228
26,Life expectancy,4743,European Union,3,Both,17,60 to 64,5,Years,2018,23.900337803725947,24.105749738502425,23.690742106325494
26,Life expectancy,4743,European Union,3,Both,18,65 to 69,5,Years,2018,19.877027763327817,20.05295535823802,19.700445372256606
26,Life expectancy,4743,European Union,3,Both,19,70 to 74,5,Years,2018,16.059322377594217,16.20465096282582,15.913041130723768
26,Life expectancy,4743,European Union,3,Both,20,75 to 79,5,Years,2018,12.492134380379113,12.60798009089644,12.374014424874137
